,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
조코드명,상품코드,상품등록일,상품명▲,매입처,"파트너포탈
입력정보",매입단가,판매단가,발주,,,,,,영업점,,,,,"발주
확정일자","발주
확정자","운영재고
관리대상",이미지여부,상품분류,발주비고,
,,,,,,,,수량,단위,단위수량,총수량,총금액,최근정보,기간판매량,운영재고,직전한달판매량,총현재고,수신예정수량,,,,,,,
디지털,8800923121217,2023-04-24,[도시바] TOSHIBA CANVIO FLEX/HDTX120/2TB,디피이,정상(EA/1),"118,150 ","139,000 ",0 ,EA(1),1 ,0 ,0 ,20250412 / 1 [발주확정],0 ,0 ,0 ,0 ,0 ,,,N,N,HDD(하드디스크드라이브), ,
디지털,8800923121224,2023-04-24,[도시바] TOSHIBA CANVIO FLEX/HDTX140/4TB,디피이,정상(EA/1),"169,150 ","199,000 ",0 ,EA(1),1 ,0 ,0 , /  [],0 ,0 ,0 ,0 ,0 ,,,N,N,HDD(하드디스크드라이브), ,
디지털,8800923166690,2024-04-15,[디알고] LED 블루투스 키즈 헤드폰 BH06CK 카키,디피이,정상(EA/1),"29,281 ","32,900 ",0 ,EA(1),1 ,0 ,0 , /  [],0 ,0 ,0 ,0 ,0 ,,,N,N,블루투스 이어폰/헤드셋, ,
디지털,8800923166515,2024-04-15,[디알고] LED 블루투스 키즈 헤드폰 BH06CK 핑크,디피이,정상(EA/1),"29,281 ","32,900 ",0 ,EA(1),1 ,0 ,0 , /  [],0 ,0 ,0 ,0 ,0 ,,,N,N,블루투스 이어폰/헤드셋, ,
디지털,8800923133821,2023-07-05,[라온] 골전도 타입 블루투스 이어셋/ITB-BTE70,디피이,정상(EA/1),"21,165 ","24,900 ",0 ,EA(1),1 ,0 ,0 , /  [],0 ,0 ,0 ,0 ,0 ,,,N,N,블루투스 이어폰/헤드셋, ,
디지털,8800923133814,2023-07-05,[라온] 블루투스 노이즈캔슬링 이어폰/ITB-BTE60/화이트,디피이,정상(EA/1),"29,665 ","34,900 ",1 ,EA(1),1 ,1 ,"29,665 ",20250412 / 5 [발주확정],0 ,0 ,1 ,0 ,0 ,,,N,N,블루투스 이어폰/헤드셋, ,
디지털,8800923133883,2023-07-05,[라온] 블루투스 오픈형 이어폰/ITB-BTE80/블랙,디피이,정상(EA/1),"21,165 ","24,900 ",0 ,EA(1),1 ,0 ,0 , /  [],0 ,0 ,0 ,0 ,0 ,,,N,N,블루투스 이어폰/헤드셋, ,
디지털,8800923133890,2023-07-05,[라온] 블루투스 오픈형 이어폰/ITB-BTE80/화이트,디피이,정상(EA/1),"21,165 ","24,900 ",0 ,EA(1),1 ,0 ,0 , /  [],0 ,0 ,0 ,0 ,0 ,,,N,N,블루투스 이어폰/헤드셋, ,
디지털,8800923133807,2023-07-05,[라온] 터치 블루투스 이어폰/ITB-BTE30/화이트,디피이,정상(EA/1),"25,415 ","29,900 ",0 ,EA(1),1 ,0 ,0 ,20250412 / 5 [발주확정],0 ,0 ,0 ,0 ,0 ,,,N,N,블루투스 이어폰/헤드셋, ,
디지털,0097855151612,2021-03-03,[로지텍] ADVANCED 무선 마우스 MX MASTER3,디피이,정상(EA/1),"111,200 ","139,000 ",0 ,EA(1),1 ,0 ,0 , /  [],0 ,0 ,0 ,0 ,0 ,,,N,N,마우스, ,
디지털,8800923115278,2020-05-22,[로지텍] BLUETOOTH MULTI-DEVICE KEYBOARD K480/BLACK,디피이,정상(EA/1),"39,920 ","49,900 ",0 ,EA(1),1 ,0 ,0 , /  [],0 ,0 ,0 ,0 ,0 ,,,N,N,블루투스 키보드, ,
디지털,8800923110563,2018-07-12,[로지텍] BLUETOOTH MULTI-DEVICE KEYBOARD K480/WHITE,디피이,정상(EA/1),"39,920 ","49,900 ",0 ,EA(1),1 ,0 ,0 , /  [],0 ,0 ,0 ,0 ,0 ,,,N,N,블루투스 키보드, ,
디지털,0097855161888,2021-03-03,[로지텍] COMPACT 무선 마우스 MX ANYWHERE 3 FOR MAC/페일 그레이,디피이,정상(EA/1),"95,200 ","119,000 ",0 ,EA(1),1 ,0 ,0 , /  [],0 ,0 ,0 ,0 ,0 ,,,N,N,마우스, ,
디지털,0097855161857,2021-03-03,[로지텍] COMPACT 무선 마우스 MX ANYWHERE 3/그라파이트,디피이,정상(EA/1),"95,200 ","119,000 ",0 ,EA(1),1 ,0 ,0 , /  [],0 ,0 ,0 ,0 ,0 ,,,N,N,마우스, ,
디지털,0097855161871,2021-03-03,[로지텍] COMPACT 무선 마우스 MX ANYWHERE 3/로즈,디피이,정상(EA/1),"95,200 ","119,000 ",0 ,EA(1),1 ,0 ,0 , /  [],0 ,0 ,0 ,0 ,0 ,,,N,N,마우스, ,
디지털,8800923118187,2022-02-24,[로지텍] COMPACT 무선 마우스 MX ANYWHERE 3/패일 그레이,디피이,정상(EA/1),"95,200 ","119,000 ",0 ,EA(1),1 ,0 ,0 , /  [],0 ,0 ,0 ,0 ,0 ,,,N,N,마우스, ,
디지털,8800923115346,2020-05-22,[로지텍] DESKTOP/MK120 NEW,디피이,정상(EA/1),"15,920 ","19,900 ",0 ,EA(1),1 ,0 ,0 , /  [],0 ,0 ,0 ,0 ,0 ,,,N,N,키보드/디지타이저, ,
디지털,6970653254638,2021-07-23,[로지텍] G GEL 게이밍 마우스패드,디피이,정상(EA/1),"11,920 ","14,900 ",2 ,EA(1),1 ,2 ,"23,840 ",20250412 / 10 [발주확정],0 ,0 ,3 ,0 ,0 ,,,N,N,패드류, ,
디지털,2300186319131,2023-05-31,[로지텍] G102 럭키행사/블랙/D,디피이,정상(EA/1),"17,910 ","19,900 ",0 ,EA(1),1 ,0 ,0 , /  [],0 ,0 ,0 ,0 ,0 ,,,N,N,마우스, ,
디지털,8800923115254,2020-05-22,[로지텍] GENEVA K780 키보드,디피이,정상(EA/1),"87,200 ","109,000 ",0 ,EA(1),1 ,0 ,0 , /  [],0 ,0 ,0 ,0 ,0 ,,,N,N,블루투스 키보드, ,
디지털,8800923113311,2018-07-27,[로지텍] G마우스패드,디피이,정상(EA/1),"3,150 ","4,500 ",0 ,EA(1),1 ,0 ,0 , /  [],0 ,0 ,0 ,0 ,0 ,,,N,N,패드류, ,
디지털,8800923113328,2018-07-27,[로지텍] G장패드,디피이,정상(EA/1),"8,330 ","11,900 ",0 ,EA(1),1 ,0 ,0 , /  [],0 ,0 ,0 ,0 ,0 ,,,N,N,패드류, ,
